T1, 5, 4, 89, 0
T2, 4, 36, 9, 0
T3, 3, 3, 73, 4
T3.1, 4, 42, 85, 0
T3.2, 5, 40, 97, 0
T3.3, 5, 8, 99, 0
T3.4, 5, 16, 100, 0
T4, 3, 9, 17, 1
T4.1, 5, 34, 32, 0
T5, 2, 44, 26, 1
T5.1, 4, 47, 42, 0
T6, 3, 7, 31, 2
T6.1, 4, 29, 42, 0
T6.2, 5, 22, 74, 0
T7, 1, 13, 40, 1
T7.1, 2, 46, 44, 0
T8, 5, 36, 98, 0
T9, 3, 3, 15, 3
T9.1, 4, 33, 53, 0
T9.2, 4, 30, 72, 0
T9.3, 5, 7, 97, 0
T10, 2, 7, 56, 3
T10.1, 2, 12, 85, 0
T10.2, 3, 41, 86, 0
T10.3, 4, 10, 92, 0
T11, 5, 39, 50, 3
T11.1, 5, 22, 71, 0
T11.2, 5, 11, 88, 0
T11.3, 5, 7, 95, 0
T12, 5, 27, 70, 2
T12.1, 5, 24, 83, 0
T12.2, 5, 31, 87, 0
T13, 4, 28, 26, 4
T13.1, 5, 23, 26, 0
T13.2, 5, 6, 97, 0
T13.3, 5, 12, 99, 0
T13.4, 5, 28, 99, 0
T14, 3, 37, 19, 1
T14.1, 5, 41, 88, 0
T15, 5, 42, 76, 3
T15.1, 5, 33, 76, 0
T15.2, 5, 26, 82, 0
T15.3, 5, 10, 97, 0
T16, 3, 32, 14, 1
T16.1, 4, 15, 25, 0
T17, 1, 21, 6, 3
T17.1, 2, 41, 65, 0
T17.2, 4, 3, 100, 0
T17.3, 4, 48, 100, 0
T18, 5, 46, 50, 0
T19, 5, 25, 34, 3
T19.1, 5, 8, 59, 0
T19.2, 5, 22, 59, 0
T19.3, 5, 10, 78, 0
T20, 4, 27, 42, 1
T20.1, 4, 7, 51, 0
T21, 3, 22, 82, 4
T21.1, 4, 34, 83, 0
T21.2, 5, 2, 88, 0
T21.3, 5, 32, 98, 0
T21.4, 5, 18, 98, 0
T22, 4, 8, 1, 1
T22.1, 5, 32, 47, 0
T23, 1, 40, 4, 0
T24, 5, 46, 87, 4
T24.1, 5, 25, 99, 0
T24.2, 5, 8, 99, 0
T24.3, 5, 12, 99, 0
T24.4, 5, 9, 99, 0
T25, 2, 21, 1, 3
T25.1, 4, 32, 65, 0
T25.2, 5, 16, 87, 0
T25.3, 5, 25, 90, 0
T26, 1, 13, 33, 1
T26.1, 2, 27, 37, 0
T27, 3, 12, 95, 2
T27.1, 3, 11, 96, 0
T27.2, 4, 2, 97, 0
T28, 4, 33, 99, 0
T29, 2, 5, 72, 1
T29.1, 3, 15, 72, 0
T30, 4, 38, 69, 2
T30.1, 5, 35, 84, 0
T30.2, 5, 41, 98, 0
T31, 2, 46, 44, 3
T31.1, 4, 12, 82, 0
T31.2, 4, 33, 91, 0
T31.3, 4, 45, 97, 0
T32, 3, 6, 78, 4
T32.1, 5, 42, 98, 0
T32.2, 5, 16, 99, 0
T32.3, 5, 31, 100, 0
T32.4, 5, 12, 100, 0
T33, 3, 23, 45, 0
T34, 5, 24, 37, 3
T34.1, 5, 32, 93, 0
T34.2, 5, 31, 98, 0
T34.3, 5, 31, 100, 0
T35, 4, 1, 97, 0
T36, 4, 13, 40, 0
T37, 5, 33, 45, 3
T37.1, 5, 31, 75, 0
T37.2, 5, 50, 96, 0
T37.3, 5, 46, 97, 0
